Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
135,0.56,0.79,0.94,0,-,5.00,321,24.87%
136,2.27,0.72,0.82,0,-,1.00,"2,780",23.58%
137,0.85,0.91,1.02,0,-,6.00,61,24.29%
138,1.11,0.96,1.08,0,-,3.00,"2,148",24.10%
139,0.96,1.01,1.14,0,-,6.00,45,23.89%
140,0.87,1.07,1.2,0,-,15.00,"1,012",23.67%
141,0.74,1.16,1.27,0,-,3.00,587,23.48%
142,1.28,1.21,1.34,0,-,1.00,112,23.28%
143,1.15,1.29,1.42,0.06,0.055,1.00,324,23.10%
145,0.92,1.47,1.6,0,-,20.00,959,22.78%
150,1.75,2.03,2.16,-0.41,-18.98%,2.00,971,22.05%
151,2.31,2.16,2.32,0,-,4.00,4,22.00%
152,2.43,2.31,2.46,0,-,5.00,6,21.86%
153,1.59,2.47,2.62,0,-,1.00,1,21.75%
155,3.1,2.5,2.97,0,-,7.00,"3,053",21.56%
156,2.33,2.7,3.3,0,-,1.00,16,21.86%
157,3.4,2.91,3.5,0,-,14.00,24,21.76%
158,1.99,3.1,3.75,0,-,5.00,10,21.76%
159,2.11,3.35,4,0,-,1.00,13,21.74%
160,3.35,3.6,4.25,-0.75,-18.29%,2.00,688,21.68%
162,4.37,4.15,4.8,0,-,1.00,1,21.61%
163,2.98,4.45,5.15,0,-,5.00,35,21.70%
164,5.16,4.8,5.45,0,-,57.00,54,21.65%
165,4.63,5.1,5.8,-1.07,-18.77%,7.00,"4,555",21.68%
166,4.95,5.45,6.15,0,-,8.00,19,21.68%
167,5.1,5.85,6.55,0.2,0.0408,1.00,6,21.75%
168,5.35,6.25,6.95,0,-,2.00,151,21.80%
169,5.55,6.65,7.35,0,-,4.00,147,21.82%
170,6.2,7.05,7.75,-1.45,-18.95%,639.00,769,21.81%
171,7.3,7.5,8.2,-0.5,-6.41%,1.00,21,21.87%
172,7.15,7.95,8.65,0,-,19.00,35,21.91%
173,7.5,8.4,9.1,0,-,14.00,49,21.92%
174,8.21,8.9,9.6,-1.05,-11.34%,1.00,33,21.99%
175,9.35,9.4,10.1,-0.18,-1.89%,4.00,"2,922",22.04%
176,8.75,9.9,10.65,0,-,3.00,261,22.16%
177,10.95,10.45,10.95,4.75,0.7661,8.00,129,21.79%
178,11.75,11,11.65,0,-,86.00,59,22.14%
179,10.87,11.55,12.3,-0.84,-7.17%,5.00,"2,112",22.36%
180,12.01,12.15,12.7,-0.14,-1.15%,11.00,346,22.11%
181,8.4,12.75,13.45,0,-,1.00,65,22.46%
182,11.85,13.35,14.05,-1.5,-11.24%,54.00,76,22.53%
183,14.48,13.7,14.7,0,-,58.00,46,22.66%
184,12.9,14.6,15.35,-1.6,-11.03%,13,84,22.77%
185,14.05,15.25,16.05,-1.3,-8.47%,36,131,22.95%
186,16.2,15.95,16.7,0,-,1,20,23.02%
187,16.5,16.35,17.4,0,-,30,50,23.16%
188,12.45,17.35,18.4,0,-,2,6,23.83%
190,17.45,18.75,19.55,0.36,0.0211,1,"1,154",23.55%
195,15.56,22.45,23.35,0,-,4,808,24.26%
200,25.23,26.45,27.3,-1.12,-4.25%,8,491,24.87%
205,30.55,30.55,31.45,0,-,2,11,25.54%
210,34.47,34.8,35.75,7.36,0.2715,3,8,26.23%
215,36.7,39.2,40.25,0,-,1,7,27.12%
220,41.05,43.7,44.8,0,-,1,33,27.93%
235,80.4,61.7,61.9,0,-,-,1,38.57%
240,52.7,62.3,63.55,0,-,-,0,30.96%
275,94.65,96,97.75,0,-,-,20,37.00%
285,102.95,105.45,107.5,0,-,-,2,38.01%
295,103.05,115.7,117.15,0,-,2,5,38.16%
300,107.85,119.9,122.75,0,-,11,32,42.35%
